1周あたりのドロップ率（％）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
エリア,クエスト名,,,銅素材,,,,,,,,,,,,,,銀素材,,,,,,,,,,,,,,,,,,,,,,,金素材,,,,,,,,,,,,,,,,,,輝石,,,,,,,魔石,,,,,,,秘石,,,,,,,ピース,,,,,,,モニュ,,,,,,,猛火,,,,,,,業火,,,,,,,基本絆P,EXP,QP,肖像,,ランチタイム,,,肖像+ランチタイム,,,ティータイム（茶）,,,肖像+ﾌﾚﾃｨｰﾀｲﾑ凸,,,ランチ+茶凸,,,3種,,,
,,AP,データ数,証,骨,牙,塵,鎖,毒針,髄液,鉄杭,火薬,小鐘,剣,灰,刃,残滓,種,ﾗﾝﾀﾝ,八連,蛇玉,羽根,歯車,頁,ホム,蹄鉄,勲章,貝殻,勾玉,結氷,指輪,ｵｰﾛﾗ,鈴,矢尻,冠,霊子,糸玉,鱗粉,皮,ｴｰﾃﾙ,爪,心臓,逆鱗,根,幼角,涙石,脂,ﾗﾝﾌﾟ,ｽｶﾗﾍﾞ,産毛,胆石,神酒,炉心,鏡,卵,ｶｹﾗ,実,鬼灯,剣輝,弓輝,槍輝,騎輝,術輝,殺輝,狂輝,剣魔,弓魔,槍魔,騎魔,術魔,殺魔,狂魔,剣秘,弓秘,槍秘,騎秘,術秘,殺秘,狂秘,剣ピ,弓ピ,槍ピ,騎ピ,術ピ,殺ピ,狂ピ,剣モ,弓モ,槍モ,騎モ,術モ,殺モ,狂モ,剣猛火,弓猛火,槍猛火,騎猛火,術猛火,殺猛火,狂猛火,剣業火,弓業火,槍業火,騎業火,術業火,殺業火,狂業火,,,,肖像1,肖像2,未凸1,凸1,凸2,像1+凸1,像2+凸1,像1+凸2,ﾌﾚ凸1,自凸1,凸2,像1+茶1,像2+茶1,像1+茶2,ラ+ﾌﾚ茶1,ラ2+自茶,ラ1+茶2,像+ﾗ+ﾌﾚ茶,像2+ﾗ+自茶,像+ﾗ2+自茶,像+ﾗ+茶2
修練場（月）,弓極級,40,"6,925",,,,29.1,,,36.9,,,,,,,,27.5,,,,24.9,,,,,,,,,,,,,,,,,,,,,,,,15.9,,,,,,9.3,,,,,,,,28.8,,,,,,,110.1,,,,,,,55.9,,,,,,,64.0,,,,,,,82.8,,,,,,,14.7,,,,,,,,,,,,,815,"29,690","8,400",865,915,831,896,978,946,996,1028,937,855,978,987,955,1028,1018,1018,1059,1068,1037,1068,1109
修練場（月）,弓超級,40,"1,000",19.5,,,26.1,,,,,,,,,,,20.9,,,,21.5,,,,20.8,,,,,,,,,,,,,,,,,,,,12.2,,,,,,,,,,,,,,20.2,,,,,,,117.9,,,,,,,30.6,,,,,,,80.7,,,,,,,57.9,,,,,,,11.7,,,,,,,,,,,,,615,"15,690","6,400",665,715,627,676,738,726,776,788,707,645,738,757,745,788,768,768,799,818,807,818,849
修練場（月）,弓上級,30,"1,551",15.9,,,23.0,,,,,,,,,,,16.1,,,,9.5,,,,14.7,,,,,,,,,,,,,,,,,,,,6.1,,,,,,,,,,,,,,21.0,,,,,,,149.9,,,,,,,15.2,,,,,,,107.5,,,,,,,36.7,,,,,,,8.6,,,,,,,,,,,,,415,"5,690","4,400",465,515,423,456,498,506,556,548,477,435,498,527,535,548,518,518,539,568,577,568,589
修練場（月）,弓中級,20,"1,160",8.7,34.1,1.1,17.5,,,,,,,,,,,14.7,,,,0.8,,,,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.9,,,,,,,39.6,,,,,,,,,,,,,,79.5,,,,,,,18.1,,,,,,,41.0,,,,,,,,,,,,,265,"1,385","2,900",315,365,270,291,318,341,391,368,304,278,318,354,378,368,331,331,344,381,404,381,394
修練場（月）,弓初級,10,"1,744",10.6,26.0,4.2,6.1,,,,,,,,,,,,,,,,,,,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.1,,,,,,,,,,,,,,,,,,,,,53.0,,,,,,,5.9,,,,,,,42.0,,,,,,,,,,,,,115,275,"1,400",165,215,117,126,138,176,226,188,132,120,138,182,220,188,143,143,149,193,232,193,199
修練場（火）,槍極級,40,"7,444",,,,28.3,,28.1,,,,,,,,,,,,,23.1,,,25.1,,26.5,,,,,,,,,,,,,,,,,,14.9,,,,,,,,,,,,,,,,24.9,,,,,,,105.5,,,,,,,54.4,,,,,,,65.2,,,,,,,83.7,,,,,,,6.4,,,,,,,,,,,,815,"29,690","8,400",865,915,831,896,978,946,996,1028,937,855,978,987,955,1028,1018,1018,1059,1068,1037,1068,1109
修練場（火）,槍超級,40,"1,100",20.5,,,23.4,,,,,,,,,,,26.7,,,,12.5,,,19.0,,,,,,,,,,,,,,,,,,,,13.3,,,,,,,,,,,,,,,,24.3,,,,,,,116.9,,,,,,,29.1,,,,,,,80.2,,,,,,,57.0,,,,,,,8.1,,,,,,,,,,,,615,"15,690","6,400",665,715,627,676,738,726,776,788,707,645,738,757,745,788,768,768,799,818,807,818,849
修練場（火）,槍上級,30,"1,300",15.4,,,23.3,,,,,,,,,,,23.4,,,,6.3,,,14.6,,,,,,,,,,,,,,,,,,,,5.7,,,,,,,,,,,,,,,,19.8,,,,,,,149.5,,,,,,,14.8,,,,,,,102.2,,,,,,,36.2,,,,,,,8.8,,,,,,,,,,,,415,"5,690","4,400",465,515,423,456,498,506,556,548,477,435,498,527,535,548,518,518,539,568,577,568,589
修練場（火）,槍中級,20,"1,000",7.9,18.8,,14.9,,,,,,,,,,,13.4,,,,,,,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.0,,,,,,,67.3,,,,,,,,,,,,,,75.6,,,,,,,19.5,,,,,,,36.4,,,,,,,,,,,,265,"1,385","2,900",315,365,270,291,318,341,391,368,304,278,318,354,378,368,331,331,344,381,404,381,394
修練場（火）,槍初級,10,"1,785",13.5,29.9,,5.7,,,,,,,,,,,,,,,,,,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.5,,,,,,,,,,,,,,,,,,,,,53.9,,,,,,,6.2,,,,,,,38.0,,,,,,,,,,,,115,275,"1,400",165,215,117,126,138,176,226,188,132,120,138,182,220,188,143,143,149,193,232,193,199
